City ID,City Name,Country Code,Actual Lat,Actual Long,Temp,Humidity,Cloudiness,Wind Speed
85,Kaeo,NZ,-35.1,173.78,62.2,99.0,24.0,4.94
86,Ngunguru,NZ,-35.62,174.5,66.43,99.0,0.0,12.44
87,Neiafu,TO,-18.65,-173.98,75.2,100.0,90.0,2.24
88,Moerai,PF,-22.43,-151.33,81.06,95.0,44.0,8.97
89,Tautira,PF,-17.73,-149.15,80.6,65.0,76.0,5.82
90,Puerto Ayora,EC,-0.74,-90.35,80.6,74.0,90.0,16.11
91,Lima,PE,-12.06,-77.04,73.4,78.0,90.0,10.29
92,Acari,PE,-15.44,-74.62,72.42,66.0,20.0,3.04
93,Calama,CL,-22.46,-68.93,77.0,53.0,0.0,9.17
94,El Carmen,BO,-12.59,-64.14,83.58,77.0,56.0,4.38
95,Cacu,BR,-18.56,-51.13,81.01,93.0,48.0,5.5
96,Porto Seguro,BR,-16.44,-39.06,86.0,62.0,20.0,16.11
97,Caravelas,BR,-17.73,-39.27,80.56,99.0,0.0,12.33
98,Maceio,BR,-9.67,-35.74,87.8,52.0,40.0,13.87
99,Opuwo,,-18.06,13.84,86.46,44.0,24.0,4.94
100,Grootfontein,,-19.56,18.1,82.4,37.0,20.0,6.93
101,Maun,BW,-19.99,23.42,68.0,100.0,75.0,8.05
102,Thohoyandou,ZA,-22.97,30.46,83.08,62.0,88.0,5.61
103,Beira,MZ,-19.84,34.84,86.0,74.0,20.0,11.88
104,Morondava,MG,-20.3,44.28,90.42,67.0,8.0,7.96
105,Manakara,MG,-22.14,48.01,81.87,84.0,32.0,12.77
106,Hithadhoo,MV,-0.6,73.08,82.05,100.0,12.0,6.29
107,Karratha,AU,-20.74,116.85,76.29,80.0,0.0,6.4
108,Broome,AU,-17.97,122.23,84.2,79.0,40.0,10.29
109,Mount Isa,AU,-20.73,139.49,73.4,27.0,0.0,8.63
110,Charters Towers,AU,-20.07,146.27,71.2,76.0,0.0,10.2
111,Poum,NC,-20.23,164.02,78.9,100.0,0.0,13.22
112,Isangel,VU,-19.55,169.27,79.08,100.0,76.0,18.03
113,Faanui,PF,-16.48,-151.75,84.75,96.0,92.0,13.0
114,Tiarei,PF,-17.53,-149.33,80.6,65.0,88.0,5.82
115,Atuona,PF,-9.8,-139.03,80.34,100.0,24.0,15.79
116,San Cristobal,EC,-1.02,-79.44,67.11,89.0,24.0,1.81
117,Hualmay,PE,-11.1,-77.61,73.95,74.0,0.0,4.94
118,Huarmey,PE,-10.07,-78.15,75.21,67.0,8.0,4.16
119,Ayna,PE,-12.72,-73.91,58.56,97.0,100.0,1.36
120,Iberia,PE,-11.41,-69.49,87.27,58.0,36.0,3.71
121,Mozarlandia,BR,-14.74,-50.57,86.1,70.0,36.0,4.5
122,Porto Nacional,BR,-10.7,-48.41,81.73,98.0,20.0,4.38
123,Maragogi,BR,-9.01,-35.22,80.97,91.0,76.0,7.29
124,Georgetown,SH,-7.93,-14.42,77.95,100.0,64.0,14.79
125,Namibe,AO,-15.19,12.15,76.02,100.0,0.0,16.13
126,Caconda,AO,-13.73,15.06,78.31,60.0,12.0,5.95
127,Kalabo,ZM,-15.0,22.67,86.1,56.0,0.0,7.4
128,Mkushi,ZM,-13.61,29.4,75.93,82.0,24.0,5.39
129,Cuamba,MZ,-14.8,36.54,80.16,77.0,76.0,4.16
130,Mitsamiouli,KM,-11.38,43.28,84.2,79.0,75.0,4.7
131,Ambilobe,MG,-13.19,49.05,79.08,87.0,64.0,8.97
132,Cap Malheureux,MU,-19.98,57.61,80.6,83.0,40.0,9.17
133,Grand Gaube,MU,-20.01,57.66,80.6,83.0,40.0,9.17
134,Labuhan,ID,-2.54,115.51,71.83,98.0,92.0,1.81
135,Boyolangu,ID,-8.09,111.9,69.81,98.0,88.0,2.59
136,Kupang,ID,-10.16,123.6,77.0,94.0,75.0,1.12
137,Port Keats,AU,-14.25,129.55,84.16,91.0,80.0,15.01
138,Daru,PG,-9.07,143.21,85.11,81.0,64.0,27.98
139,Samarai,PG,-10.62,150.67,84.61,100.0,88.0,9.64
140,Gizo,SB,-8.1,156.84,80.25,100.0,92.0,9.98
141,Kirakira,SB,-10.46,161.92,81.46,100.0,80.0,13.0
142,Sola,VU,-13.88,167.55,81.69,95.0,64.0,10.65
143,Pimentel,PE,-6.84,-79.94,78.8,69.0,0.0,11.41
144,Moyobamba,PE,-6.03,-76.97,77.5,76.0,44.0,2.93
145,Sao Paulo De Olivenca,BR,-3.38,-68.87,81.15,84.0,88.0,3.94
146,Jacareacanga,BR,-6.22,-57.76,86.0,89.0,40.0,2.24
147,Sao Felix Do Xingu,BR,-6.64,-51.99,82.86,82.0,44.0,2.71
148,Pitimbu,BR,-7.47,-34.81,78.8,94.0,75.0,12.75
149,Omboue,GA,-1.57,9.26,76.06,100.0,92.0,4.16
150,Mayumba,GA,-3.44,10.65,74.13,100.0,92.0,7.74
151,Mbanza-Ngungu,CD,-5.25,14.87,77.37,90.0,64.0,5.06
152,Kamina,CD,-8.74,25.0,81.91,77.0,32.0,4.61
153,Moba,CD,-7.04,29.77,79.66,66.0,0.0,1.36
154,Itigi,TZ,-5.7,34.5,85.96,31.0,44.0,8.97
155,Victoria,SC,-4.62,55.45,78.8,94.0,90.0,4.7
156,Hambantota,LK,6.12,81.12,77.0,88.0,20.0,13.87
157,Padang,ID,-0.92,100.36,77.0,94.0,40.0,3.36
158,Sungaipenuh,ID,-2.08,101.38,67.83,94.0,80.0,1.14
159,Dukuhturi,ID,-7.24,109.01,70.71,98.0,76.0,2.26
160,Sumenep,ID,-7.02,113.87,75.43,100.0,92.0,7.18
161,Galesong,ID,-5.32,119.37,77.0,100.0,20.0,1.12
162,Tual,ID,-5.67,132.75,85.96,95.0,24.0,15.46
163,Wewak,PG,-3.55,143.63,80.56,81.0,48.0,7.18
164,Kerema,PG,-7.96,145.78,74.94,88.0,36.0,3.15
165,Kieta,PG,-6.22,155.63,78.54,100.0,80.0,12.88
166,Auki,SB,-8.77,160.7,78.72,100.0,64.0,5.61
167,Hilo,US,19.71,-155.08,68.0,93.0,90.0,6.93
168,San Patricio,MX,19.22,-104.7,71.6,73.0,90.0,4.61
169,Puerto Baquerizo Moreno,EC,-0.9,-89.6,78.8,78.0,75.0,12.33
170,Muisne,EC,0.61,-80.02,82.4,83.0,75.0,3.36
171,Puerto Leguizamo,CO,-0.19,-74.78,84.25,77.0,48.0,0.69
172,Miraflores,CO,5.2,-73.14,64.18,48.0,0.0,2.48
173,Boa Vista,BR,2.82,-60.67,89.6,40.0,20.0,18.34
174,Oriximina,BR,-1.77,-55.87,82.32,84.0,12.0,3.38
175,Amapa,BR,-1.83,-56.23,83.58,82.0,12.0,3.38
176,Jardim,BR,-21.48,-56.15,86.19,81.0,32.0,7.74
177,Touros,BR,-5.2,-35.46,89.6,55.0,20.0,20.8
178,Harper,LR,4.38,-7.71,79.75,100.0,24.0,6.29
179,Sassandra,CI,4.95,-6.09,81.24,100.0,0.0,7.96
180,Takoradi,GH,4.89,-1.75,87.18,87.0,0.0,9.42
181,Booue,GA,-0.09,11.94,80.38,86.0,8.0,3.15
182,Mbandaka,CD,0.05,18.26,82.77,88.0,24.0,2.71
183,Bondo,CD,3.81,23.69,85.11,58.0,20.0,2.15
184,Moyo,UG,3.66,31.72,83.58,55.0,56.0,3.94
185,Lodwar,KE,3.12,35.6,85.96,38.0,0.0,10.2
186,Wajir,KE,1.75,40.07,92.08,32.0,0.0,5.28
187,Matara,LK,5.95,80.54,79.75,93.0,68.0,4.61
188,Meulaboh,ID,4.14,96.13,79.98,100.0,76.0,4.05
189,Langsa,ID,4.47,97.97,67.92,98.0,24.0,2.15
190,Sungairaya,ID,0.7,108.9,78.18,93.0,80.0,4.16
191,Kapit,MY,2.02,112.94,72.15,99.0,48.0,1.48
192,Luwuk,ID,-0.95,122.79,80.97,91.0,64.0,2.82
193,Sorong,ID,-0.86,131.25,80.56,100.0,64.0,6.62
194,Biak,ID,-0.91,122.88,80.97,91.0,64.0,2.82
195,Vanimo,PG,-2.67,141.3,82.95,100.0,24.0,18.37
196,Kavieng,PG,-2.57,150.8,80.25,100.0,64.0,11.43
197,Namatanai,PG,-3.66,152.44,77.41,100.0,92.0,8.08
198,Butaritari,KI,3.07,172.79,82.14,100.0,88.0,19.37
199,Kapaa,US,22.08,-159.32,70.61,76.0,90.0,14.99
200,Makakilo City,US,21.35,-158.09,73.4,84.0,20.0,3.36
201,Cabo San Lucas,MX,22.89,-109.91,56.26,58.0,90.0,6.93
202,Ixtapa,MX,20.71,-105.21,62.6,100.0,75.0,3.6
203,Acapulco,MX,16.86,-99.88,77.0,53.0,5.0,10.29
204,Champerico,GT,14.3,-91.92,80.6,61.0,0.0,4.16
205,Santa Cruz,CR,10.26,-85.58,87.8,45.0,0.0,25.28
206,Quepos,CR,9.43,-84.16,73.42,64.0,20.0,12.75
207,Rionegro,CO,6.15,-75.37,73.58,43.0,0.0,6.93
208,San Carlos,VE,9.66,-68.59,86.1,56.0,0.0,5.73
209,Ciudad Guayana,VE,8.32,-62.69,77.68,88.0,24.0,6.96
210,Iracoubo,GF,5.48,-53.21,85.15,62.0,12.0,5.17
211,Cayenne,GF,4.94,-52.33,84.2,70.0,75.0,10.29
212,Itarema,BR,-2.92,-39.92,81.69,96.0,48.0,11.21
213,Praia,CV,14.92,-23.51,84.2,37.0,0.0,16.11
214,Bubaque,GW,11.28,-15.83,86.37,82.0,12.0,4.72
215,Koindu,SL,8.22,-10.76,93.7,29.0,0.0,10.09
216,Oume,CI,6.38,-5.42,91.63,45.0,0.0,7.74
217,Savelugu,GH,9.63,-0.83,96.54,18.0,0.0,11.54
218,Lere,NG,10.39,8.57,84.43,28.0,0.0,14.0
219,Guider,CM,9.93,13.94,86.0,16.0,0.0,11.41
220,Bangassou,CF,4.74,22.82,90.15,43.0,20.0,4.61
221,Moyale,ET,3.52,39.05,82.63,29.0,0.0,6.96
222,Hargeysa,SO,9.56,44.06,69.54,43.0,0.0,6.06
223,Eyl,SO,7.98,49.82,76.56,100.0,88.0,20.04
224,Bandarbeyla,SO,9.49,50.81,77.73,99.0,88.0,23.51
225,Ugoofaaru,MV,5.67,73.0,83.85,98.0,44.0,15.35
226,Kavaratti,IN,10.57,72.64,83.67,100.0,0.0,6.06
227,Nagapattinam,IN,10.76,79.84,74.13,68.0,0.0,11.77
228,Kalmunai,LK,7.42,81.82,75.39,83.0,44.0,9.08
229,Sabang,ID,1.17,120.82,83.31,99.0,56.0,10.65
230,Nibong Tebal,MY,5.17,100.48,81.48,74.0,75.0,5.82
231,Vung Tau,VN,10.35,107.08,81.69,87.0,88.0,22.5
232,Kota Kinabalu,MY,5.98,116.07,82.4,83.0,75.0,8.05
233,Becerril,PH,9.65,123.43,82.4,74.0,40.0,11.41
234,Sarangani,PH,5.4,125.46,82.32,100.0,44.0,22.28
235,Lorengau,PG,-2.02,147.27,82.86,100.0,92.0,15.79
236,Constitucion,MX,23.99,-104.67,33.8,59.0,90.0,4.27
237,Coahuayana,MX,18.62,-100.35,66.12,61.0,0.0,1.92
238,Tres Picos,MX,16.23,-93.58,71.65,78.0,8.0,3.38
239,Siuna,NI,13.73,-84.78,73.0,98.0,92.0,3.38
240,Puerto Colombia,CO,10.99,-74.96,84.2,62.0,0.0,10.29
241,Oranjestad,AW,12.52,-70.03,82.4,61.0,20.0,28.86
242,Bathsheba,BB,13.22,-59.52,82.4,61.0,20.0,20.8
243,Ponta Do Sol,CV,17.2,-25.09,80.6,47.0,0.0,16.11
244,Pombas,CV,17.15,-25.02,80.6,47.0,0.0,16.11
245,Kita,ML,13.04,-9.49,89.38,28.0,68.0,14.34
246,Mopti,ML,14.49,-4.19,91.4,13.0,0.0,13.87
247,Gao,ML,16.28,-0.04,81.55,22.0,92.0,12.88
248,Tanout,NE,14.97,8.88,77.95,28.0,0.0,13.78
249,Adre,TD,13.47,22.2,89.52,20.0,0.0,4.72
250,Korem,ET,12.51,39.52,65.35,32.0,0.0,2.71
251,Bajil,YE,15.06,43.29,82.23,48.0,0.0,5.61
252,Salalah,OM,17.01,54.1,77.0,65.0,40.0,8.05
253,Mangrol,IN,25.33,76.51,55.5,67.0,0.0,3.38
254,Razole,IN,16.48,81.84,76.51,100.0,0.0,10.65
255,Yarada,IN,17.65,83.27,64.4,72.0,0.0,2.24
256,Pyapon,MM,16.29,95.68,75.84,86.0,24.0,1.14
257,Mae Ramat,TH,16.98,98.52,66.7,85.0,0.0,2.15
258,Quang Ngai,VN,15.12,108.8,63.69,98.0,92.0,6.62
259,Palauig,PH,15.44,119.9,77.28,88.0,8.0,10.2
260,Cagliliog,PH,13.9,123.29,76.96,92.0,48.0,15.01
261,Sulangan,PH,11.14,123.72,81.78,98.0,92.0,20.49
262,Nanakuli,US,21.39,-158.15,73.31,84.0,90.0,8.05
263,Lompoc,US,34.64,-120.46,31.19,84.0,1.0,8.05
264,Guerrero Negro,MX,27.97,-114.04,48.16,100.0,20.0,3.6
265,Tomatlan,MX,19.93,-105.25,64.32,76.0,64.0,1.48
266,Tamasopo,MX,21.92,-99.39,56.98,95.0,24.0,3.71
267,Agua Dulce,MX,18.14,-94.15,78.8,83.0,5.0,11.41
268,Panaba,MX,21.28,-88.27,82.5,64.0,0.0,8.08
269,Condado,CU,21.88,-79.84,78.78,69.0,20.0,8.05
270,Cockburn Town,BS,24.03,-74.52,78.0,96.0,56.0,18.48
271,Villa Altagracia,DO,18.67,-70.17,71.25,88.0,44.0,3.49
272,Nouadhibou,MR,20.93,-17.03,80.83,37.0,0.0,7.96
273,Araouane,ML,18.9,-3.53,81.1,21.0,0.0,12.55
274,Adrar,DZ,27.87,-0.29,64.4,34.0,0.0,14.99
275,Jalu,LY,29.03,21.55,61.26,52.0,12.0,14.9
276,Marawi,SD,18.48,31.82,79.89,27.0,44.0,5.5
277,Mecca,SA,21.43,39.83,80.79,52.0,24.0,6.29
278,Najran,SA,17.54,44.22,75.2,27.0,0.0,11.41
279,Sur,OM,22.57,59.53,71.43,100.0,0.0,3.38
280,Karachi,PK,24.87,67.03,69.8,68.0,0.0,6.93
281,Porbandar,IN,21.64,69.61,71.97,51.0,0.0,9.53
282,Digras,IN,20.1,77.72,55.36,62.0,0.0,3.6
283,Sarankhola,BD,22.31,89.79,64.14,71.0,0.0,8.19
284,Mae Sai,TH,20.43,99.88,66.2,100.0,40.0,4.7
285,Chenghai,CN,23.46,116.77,60.8,63.0,0.0,4.47
286,Ishigaki,JP,24.34,124.16,68.19,100.0,92.0,27.76
287,Hirara,JP,24.8,125.28,70.44,100.0,88.0,23.85
288,Nishihara,JP,35.74,139.53,36.18,65.0,20.0,9.17
289,Shingu,JP,33.72,135.99,51.4,100.0,12.0,21.5
290,Katsuura,JP,33.93,134.5,46.4,49.0,75.0,16.11
291,Hasaki,JP,35.73,140.83,34.59,65.0,20.0,4.7
292,Kahului,US,20.89,-156.47,70.02,84.0,1.0,10.29
293,Pacific Grove,US,36.62,-121.92,31.91,47.0,1.0,6.93
294,Santa Isabel,MX,32.63,-115.58,34.9,69.0,1.0,6.62
295,Ojinaga,MX,29.57,-104.42,48.56,37.0,1.0,5.82
296,Lockhart,US,29.88,-97.67,42.75,85.0,1.0,14.99
297,Edgewater,US,28.99,-80.9,73.81,83.0,1.0,5.82
298,Marsh Harbour,BS,26.54,-77.06,75.7,100.0,0.0,13.33
299,Hamilton,BM,32.3,-64.78,68.0,72.0,75.0,11.41
300,Saint George,BM,32.38,-64.68,68.0,72.0,75.0,11.41
